id,name,unit,notes
1,Biofuels Production - Kboed - Total,Thousand barrels of oil equivalent per day,Annual changes and shares of total are calculated using thousand barrels a day oil equivalent figures.
2,Biofuels Production - Kboed - Biogasoline,Thousand barrels of oil equivalent per day,Annual changes and shares of total are calculated using thousand barrels a day oil equivalent figures.
3,Biofuels Production - Kboed - Biodiesel,Thousand barrels of oil equivalent per day,Annual changes and shares of total are calculated using thousand barrels a day oil equivalent figures.
4,Biofuels Production - PJ - Total,Petajoules,Annual changes and shares of total are calculated using petajoules figures.
5,Biofuels Production - PJ - Biogasoline,Petajoules,Annual changes and shares of total are calculated using petajoules figures.
6,Biofuels Production - PJ - Biodiesel,Petajoules,Annual changes and shares of total are calculated using petajoules figures.
7,Carbon Dioxide Emissions,Million tonnes of carbon dioxide,"The carbon emissions above reflect only those through consumption of oil, gas and coal for combustion related activities, and are based on 'Default CO2 Emissions Factors for Combustion' listed by the IPCC in its Guidelines for National Greenhouse Gas Inventories (2006). This does not allow for any carbon that is sequestered, for other sources of carbon emissions, or for emissions of other greenhouse gases. Our data is therefore not comparable to official national emissions data."
8,Coal - Prices,US dollars per tonne,CAPP = Central Appalachian; CIF = cost+insurance+freight (average prices); FOB = free on board.
9,Coal - Reserves - Anthracite and bituminous,Million tonnes,"Total proved reserves of coal- Generally taken to be those quantities that geological and engineering information indicates with reasonable certainty can be recovered in the future from known reservoirs under existing economic and operating conditions. The data series for total proved coal reserves does not necessarily meet the definitions, guidelines and practices used for determining proved reserves at company level, for instance as published by the US Securities and Exchange Commission, nor does it necessarily represent bp’s view of proved reserves by country. Reserves-to-production (R/P) ratio - If the reserves remaining at the end of any year are divided by the production in that year, the result is the length of time that those remaining reserves would last if production were to continue at that rate. Reserves-to-production (R/P) ratios are calculated excluding other solid fuels in reserves and production. Shares of total and R/P ratios are calculated using million tonnes figures."
10,Coal - Reserves - Sub-bituminous and lignite,Million tonnes,"Total proved reserves of coal- Generally taken to be those quantities that geological and engineering information indicates with reasonable certainty can be recovered in the future from known reservoirs under existing economic and operating conditions. The data series for total proved coal reserves does not necessarily meet the definitions, guidelines and practices used for determining proved reserves at company level, for instance as published by the US Securities and Exchange Commission, nor does it necessarily represent bp’s view of proved reserves by country. Reserves-to-production (R/P) ratio - If the reserves remaining at the end of any year are divided by the production in that year, the result is the length of time that those remaining reserves would last if production were to continue at that rate. Reserves-to-production (R/P) ratios are calculated excluding other solid fuels in reserves and production. Shares of total and R/P ratios are calculated using million tonnes figures."
11,Coal - Reserves - Total,Million tonnes,"Total proved reserves of coal- Generally taken to be those quantities that geological and engineering information indicates with reasonable certainty can be recovered in the future from known reservoirs under existing economic and operating conditions. The data series for total proved coal reserves does not necessarily meet the definitions, guidelines and practices used for determining proved reserves at company level, for instance as published by the US Securities and Exchange Commission, nor does it necessarily represent bp’s view of proved reserves by country. Reserves-to-production (R/P) ratio - If the reserves remaining at the end of any year are divided by the production in that year, the result is the length of time that those remaining reserves would last if production were to continue at that rate. Reserves-to-production (R/P) ratios are calculated excluding other solid fuels in reserves and production. Shares of total and R/P ratios are calculated using million tonnes figures."
12,Coal Consumption - EJ,Exajoules,"Differences between these consumption figures and the world production statistics are accounted for by stock changes, and unadvoidable disparities in the definition, measurement or conversion of coal supply and demand data. Annual changes and share of total are calculated using exajoules figures."
13,Coal Production - EJ,Exajoules,Annual changes and shares of total are calculated using exajoules figures.
14,Coal Production - Tonnes,Million tonnes ,Annual changes and shares of total are calculated using million tonnes oil equivalent figures.
15,Electricity Generation ,Terawatt-hours,Annual changes and share of total are calculated using terawatt-hours figures.
16,Gas - Prices ,US dollars per million Btu,cif = cost+insurance+freight (average prices).
17,Gas - Proved reserves,Trillion cubic metres,"Total proved reserves of natural gas - Generally taken to be those quantities that geological and engineering information indicates with reasonable certainty can be recovered in the future from known reservoirs under existing economic and operating conditions. The data series for total proved natural gas does not necessarily meet the definitions, guidelines and practices used for determining proved reserves at company level, for instance as published by the US Securities and Exchange Commission, nor does it necessarily represent bp’s view of proved reserves by country. Reserves-to-production (R/P) ratio - If the reserves remaining at the end of any year are divided by the production in that year, the result is the length of time that those remaining reserves would last if production were to continue at that rate. Source of data - The estimates in this table have been compiled using a combination of primary official sources and third-party data from Cedigaz and the OPEC Secretariat. As far as possible, the data above represents standard cubic metres (measured at 15ºC and 1013 mbar) and has been standardized using a gross calorific value (GCV) of 40 MJ/m3."
18,Gas - Proved reserves history ,Trillion cubic metres,"Total proved reserves of natural gas - Generally taken to be those quantities that geological and engineering information indicates with reasonable certainty can be recovered in the future from known reservoirs under existing economic and operating conditions. The data series for natural gas does not necessarily meet the definitions, guidelines and practices used for determining proved reserves at company level, for instance as published by the US Securities and Exchange Commission, nor does it necessarily represent bp’s view of proved reserves by country. Reserves-to-production (R/P) ratio - If the reserves remaining at the end of any year are divided by the production in that year, the result is the length of time that those remaining reserves would last if production were to continue at that rate. As far as possible, the data above represents standard cubic metres (measured at 15ºC and 1013 mbar) and has been standardized using a Gross Calorific Value (GCV) of 40 MJ/m3. Source of data - The estimates in this table have been compiled using a combination of primary official sources and third-party data from Cedigaz and the OPEC Secretariat. Annual changes and share of total are calculated using trillion cubic metres."
19,Gas Consumption - Bcf,Billion cubic feet per day,"The difference between these world consumption figures and the world production statistics is due to variations in stocks at storage facilities and liquefaction plants, together with unavoidable disparities in the definition, measurement or conversion of gas supply and demand data. Annual changes and shares of total are calculated using billion cubic feet per day figures."
20,Gas Consumption - Bcm,Billion cubic metres,"As far as possible, the data above represent standard cubic metres (measured at 15oC and 1013 mbar); as they are derived directly from measures of energy content using an average conversion factor and have been standardized using a Gross Calorific Value (GCV) of 40 MJ/m3, they do not necessarily equate with gas volumes expressed in specific national terms. The difference between these world consumption figures and the world production statistics is due to variations in stocks at storage facilities and liquefaction plants, together with unavoidable disparities in the definition, measurement or conversion of gas supply and demand data. Annual changes and shares of total are calculated using billion cubic metres figures."
21,Gas Consumption - EJ,Exajoules,"The difference between these world consumption figures and the world production statistics is due to variations in stocks at storage facilities and liquefaction plants, together with unavoidable disparities in the definition, measurement or conversion of gas supply and demand data. Annual changes and share of total are calculated using exajoules figures."
22,Gas Production - Bcf,Billion cubic feet per day,"As the data above are derived directly from measures of energy content using average conversion factors, they do not necessarily equate with gas volumes expressed in specific national terms. Annual changes and shares of total are calculated using billion cubic feet per day figures."
23,Gas Production - Bcm,Billion cubic metres,"As far as possible, the data above represents standard cubic metres (measured at 15oC and 1013 mbar); as they are derived directly from measures of energy content using an average conversion factor and have been standardized using a Gross Calorific Value (GCV) of 40 MJ/m3, they do not necessarily equate with gas volumes expressed in specific national terms. Annual changes and shares of total are calculated using billion cubic metres figures."
24,Gas Production - EJ,Exajoules,Annual changes and shares of total are calculated using exajoules figures.
25,Geo Biomass Other - EJ,Exajoules (input-equivalent),Annual changes and share of total are calculated using exajoules figures and incorporate adjustments for assumed changes in thermal efficiency.
26,Geo Biomass Other - TWh,Terawatt-hours,Annual changes and shares of total are calculated using terawatt-hours figures.
27,Geothermal Capacity,Megawatts,
28,Hydro Consumption - EJ,Exajoules,Annual changes and share of total are calculated using exajoules figures.
29,Hydro Generation - TWh,Terawatt-hours,Annual changes and shares of total are calculated using terawatt-hours figures.
30,Nuclear Consumption - EJ,Exajoules (input-equivalent),Annual changes and share of total are calculated using exajoules figures.
31,Nuclear Generation - TWh,Terawatt-hours,Annual changes and shares of total are calculated using terawatt-hours figures.
32,Oil - Proved reserves,Thousand million barrels,"Total proved reserves of oil - Generally taken to be those quantities that geological and engineering information indicates with reasonable certainty can be recovered in the future from known reservoirs under existing economic and operating conditions. The data series for total proved oil reserves does not necessarily meet the definitions, guidelines and practices used for determining proved reserves at company level, for instance as published by the US Securities and Exchange Commission, nor does it necessarily represent bp’s view of proved reserves by country. Reserves-to-production (R/P) ratio - If the reserves remaining at the end of any year are divided by the production in that year, the result is the length of time that those remaining reserves would last if production were to continue at that rate. Source of data - The estimates in this table have been compiled using a combination of primary official sources, third-party data from the OPEC Secretariat, World Oil, Oil & Gas Journal and Chinese reserves based on official data and information in the public domain. Canadian oil sands 'under active development' are an official estimate. Venezuelan Orinoco Belt reserves are based on the OPEC Secretariat and government announcements. Reserves and R/P ratio for Canada includes Canadian oil sands. Reserves and R/P ratio for Venezuela includes the Orinoco Belt. Saudi Arabia's oil reserves include NGLs from 2017. Reserves include gas condensate and natural gas liquids (NGLs) as well as crude oil. Shares of total and R/P ratios are calculated using thousand million barrels figures."
33,Oil - Proved reserves history,Thousand million barrels,"Total proved reserves of oil - Generally taken to be those quantities that geological and engineering information indicates with reasonable certainty can be recovered in the future from known reservoirs under existing economic and operating conditions. The data series for total proved oil does not necessarily meet the definitions, guidelines and practices used for determining proved reserves at company level, for instance as published by the US Securities and Exchange Commission, nor does it necessarily represent bp’s view of proved reserves by country. Reserves-to-production (R/P) ratio - If the reserves remaining at the end of any year are divided by the production in that year, the result is the length of time that those remaining reserves would last if production were to continue at that rate. Source of data - The estimates in this table have been compiled using a combination of primary official sources, third-party data from the OPEC Secretariat, World Oil, Oil & Gas Journal and an independent estimates of Russian reserves based on official data and Chinese reserves based on official data and information in the public domain. Canadian oil sands 'under active development' are an official estimate. Venezuelan Orinoco Belt reserves are based on the OPEC Secretariat and government announcements. Reserves and R/P ratio for Canada includes Canadian oil sands. Reserves and R/P ratio for Venezuela includes the Orinoco Belt. Saudi Arabia's oil reserves include NGLs from 2017. Reserves include gas condensate and natural gas liquids (NGLs) as well as crude oil. Annual changes and shares of total are calculated using thousand million barrels figures."
34,Oil - Refinery throughput,Thousand barrels daily*,
35,Oil - Refining capacity,Thousand barrels daily*,
36,Oil - Spot crude prices,US dollars per barrel,
37,Oil Consumption - Barrels,Thousand barrels daily,"Differences between these world consumption figures and world production statistics are accounted for by stock changes, consumption of non-petroleum additives and substitute fuels and unavoidable disparities in the definition, measurement or conversion of oil supply and demand data. Annual changes and shares of total are calculated using thousand barrels daily figures."
38,Oil Consumption - Tonnes,Million tonnes,"Differences between these world consumption figures and world production statistics are accounted for by stock changes, consumption of non-petroleum additives and substitute fuels and unavoidable disparities in the definition, measurement or conversion of oil supply and demand data. Annual changes and shares of total are calculated using million tonnes figures."
39,Oil Production - Barrels,Thousand barrels daily,Annual changes and shares of total are calculated using thousand barrels daily figures.
40,Oil Production - Tonnes,Million tonnes,Annual changes and shares of total are calculated using million tonnes figures.
41,Primary Energy Consumption,Exajoules,
42,Renewables Power - EJ,Exajoules (input-equivalent)*,Annual changes and share of total are calculated using exajoules figures and incorporate adjustments for assumed changes in thermal efficiency.
43,Renewables Power - Twh,Terawatt-hours,Annual changes and share of total are calculated using terawatt-hours
44,Solar Capacity,Megawatts,
45,Solar Consumption - EJ,Exajoules (input-equivalent),Annual changes and share of total are calculated using exajoules figures and incorporate adjustments for assumed changes in thermal efficiency.
